panel_key,panel_title,parameter_name,parameter_label,scenario,parameter_value,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,mean_attack_probability,terminal_public_belief_mean
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,12,-20.282408451050934,13.152293057245362,-42.56250000000001,0.8796874999999998,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,13,-20.786922183393294,13.479449098658558,-46.10937500000001,0.8796874999999998,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,14,-21.2157588558843,13.757531733859773,-49.65625000000001,0.8796874999999998,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,8.0,15,-21.580270027501655,13.993901973780806,-53.20312500000001,0.8796874999999997,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,1,-4.786111111111113,2.3000000000000003,-4.786111111111113,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,2,-8.854305555555559,4.255000000000001,-9.572222222222226,0.8930555555555556,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,3,-12.312270833333336,5.91675,-14.358333333333336,0.8930555555555556,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,4,-15.25154131944445,7.329237500000001,-19.144444444444453,0.8930555555555556,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,5,-17.74992123263889,8.529851875000002,-23.930555555555557,0.8930555555555555,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,6,-19.87354415885417,9.550374093750001,-28.71666666666667,0.8930555555555556,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,7,-21.67862364613716,10.417817979687502,-33.50277777777779,0.8930555555555556,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,8,-23.212941210327692,11.155145282734377,-38.2888888888889,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,9,-24.517111139889654,11.781873490324221,-43.07500000000001,0.8930555555555557,0.6500003500000001
